terms
data mining
data science
data structure
data wrangling
decision trees
discrete variable
econometrics
feature
GATE
gradient boosting
independent variable
k-means clustering
k-nearest neighbors
latent variable
lift
linear algebra
linear regression
logarithm
logistic regression
machine learning model
Markov Chain
matrix
mean
Mean Absolute Error
Mean Squared Error
median
mode
Monte Carlo method
moving average
n-gram
naive Bayes classifier
NoSQL
null hypothesis
objective function
outlier
P value
PageRank
perceptron
Perl
pivot table
Poisson distribution
posterior distribution
predictive modeling
principal component analysis
prior distribution
probability distribution
Python
"quantile, quartile"
R
random forest
Root Mean Squared Error
Ruby
S curve
SAS
scalar
scripting
serial correlation
shell
spatiotemporal data
SPSS
SQL
standard normal distribution
standardized score
Stata
"strata, stratified sampling"
support vector machine
t-distribution
Tableau
time series data
UIMA
vector
vector space
Weka
Adjusted R^2
Santiago Perez
)
Bayesian Networks
Boosted Models
Cluster Analysis
Markus Schmidberger
Michael Malak
Design of Experiments
EM Algorithm
Ensemble Methods
Vincent Granville
General Linear Model
: 
Hidden Decision Trees
Hierarchical Bayesian Models
K-Means
Kernel Density estimator
Linear Discrimination
Mahout:
MapReduce
Maximum Likelihood
MCMC
Mixture Models
Monte-Carlo Simulations
 
Renato Vitolo
No SQL
Multidimensional Scaling
Naive Bayes
Non-parametric Statistics
Pig
Principal Component Analysis
Sensitivity Analysis'
Six Sigma
Stepwise Regression
disproportionately 
Supervised Clustering
Support Vector Machines
Data science apprenticeship
Data science book
Data science tools
Data science history
Models
Hyperparameters
Training Set/Training Data
Validation Set/Validation Data
Testing Set/Testing Data
Model Deployment
Feature Space
Ensemble Modeling
GitHub
Docker
NumPy
pandas
Scikit-Learn/sklearn
Keras
Metrics for Binary Classification
Metrics for Multi-class Classification
Metrics for Regression
Towards Data Science
Mandy Gu
More From Medium
Why Is Data Science Losing Its Charm?
How to Build a Data Science Web App in Python
10 Smooth Python Tricks For Python Gods
Why is Linear Algebra Taught So Badly?
Data science
Data scientist
Data analyst
Business analyst
Data engineer
Data governance
Data set
Data mining
Data visualization
Data modeling
Data wrangling
Big data
Artificial intelligence
Machine learning engineer 
API
Excel
Unstructured data
You might also be interested in...
Apache Spark
Backpropogation
Bias-Variance Trade-off
Bias error
here
Concordant Pair
concordant pair
Discordant Pair
Dplyr
Flume
Frequentist Statistics 
Gated Recurrent Unit (GRU)
update gate z
a reset gate r
Ggplot2
Go
Julia
Log Loss
Map:
Shuffle:
Reduce:
Monte Carlo Simluation
Nominal Variable
Parameters
Pattern Recognition
Pie Chart
Root Mean Squared Error (RMSE)
Rotational Invariance
Standardization
Tokenization
Torch
True Negative
True Positive
Z-test
Zookeeper
Warning
95
102
AI Chatbots
AutoML
BERT
Cognitive computing
Data pipeline
"Data lake, data warehouse"
Edge analytics
GANs
Geospatial analytics
Low-code/No-code
Anonymization
Behavioural analytics
Citizen Data Scientist
Clickstream analytics
Data Governance
Data Set
Data Scientist
Democratization of Data Science
Dimension
In-Memory Database
Metadata
Predictive Modelling
Quantile
